Case No,Division,Water District,Waterbody Name,Waterbody Type,Appropriation Type,Appropriation Date,Prior Adjudication Date,WDID,Upper Terminus,UT UTM East,UT UTM North,Lower Terminus,LT UTM East,LT UTM North,Lake UTM North,Lake UTM East,Location,Length,Flow Amounts,Volume in AF,County,Watershed
80CW0074,2,12,Big Cottonwood Creek,Stream,New Appropriation,05/07/1980,,1203005,headwaters in vicinity of,433459.74,4236573.50,confl Arkansas River at,436105.26,4245953.57,,,"(38.359444, -105.730833)",6.4,3 (1/1 - 12/31),,Fremont,Arkansas Headwaters
86CW0206,5,51,Beaver Creek,Stream,New Appropriation,03/14/1986,,5102058,confl unnamed tributary at,413672.30,4424559.97,confl Colorado River at,403554.33,4433690.23,,,"(40.048056, -106.129722)",10,1.5 (1/1 - 12/31),,Grand,Colorado Headwaters
79CW0179,5,51,South Fork Williams Fork,Stream,New Appropriation,05/18/1979,,5102023,a point located at,411839.17,4400085.58,confl Williams Fork River at,411706.20,4406353.68,,,"(39.802222, -106.029444)",4.1,"5 (10/1 - 4/30), 10 (5/1 - 9/30)",,Grand,Colorado Headwaters
16CW3160,5,72,West Hawxhurst Creek,Stream,New Appropriation,01/26/2016,,7202015,headwaters in the vicinity of,250123.61,4361117.90,confl East Hawxhurst Creek at,248989.35,4353102.99,,,"(39.290944, -107.910489)",5.57,"1.6 (4/15 - 6/30), 0.56 (7/1 - 4/14)",,Mesa,Colorado Headwaters-Plateau
04CW0089,2,11,Wildcat Gulch,Stream,New Appropriation,01/28/2004,,1103083,headwaters in vicinity of,375952.78,4280882.28,confl Chalk Creek at,380433.39,4281060.79,,,"(38.67, -106.373889)",2.9,"4.2 (5/15 - 7/31), 2.9 (8/1 - 8/31), 1.35 (9/1 - 10/31), 0.55 (11/1 - 5/14)",,Chaffee,Arkansas Headwaters
80CW0067,1,23,Middle Fork South Platte River,Stream,New Appropriation,01/30/1980,,2302148,confl Sacramento Creek in,411490.05,4343217.04,confl SF South Platte River at,435908.62,4318260.99,,,"(39.010833, -105.739722)",28.8,"8 (10/1 - 4/30), 16 (5/1 - 9/30)",,Park,South Platte Headwaters
76W4444,2,11,Ouray Creek,Stream,New Appropriation,01/14/1976,,1103035,headwaters in,392094.36,4252207.16,confl Poncha Creek in,393134.45,4249982.34,,,"(38.391672, -106.2237)",1.5,3 (1/1 - 12/31),,Saguache,Arkansas Headwaters
05CW0264,5,36,Blue River,Stream,Acquisition,05/23/1904,03/02/1910 12:00:00 AM,3602048,confl Slate Creek at,400473.67,4404310.74,inlet of Green Mtn. Reservoir at,394967.15,4410109.08,,,"(39.834444, -106.2275)",6.92,"0.02 (5/1 - 5/31), 0.45 (6/1 - 6/30), 0.35 (7/1 - 7/31), 0.24 (8/1 - 8/31), 0.14 (9/1 - 9/30)",,Summit,Blue
76W2938,5,38,Woody Creek,Stream,New Appropriation,01/14/1976,,3802048,headwaters in,357179.80,4343568.98,confl Roaring Fork River in,336867.68,4349201.99,,,"(39.276828, -106.891247)",13,6 (1/1 - 12/31),,Pitkin,Roaring Fork
82CW0152,2,13,Spruce Creek,Stream,New Appropriation,06/03/1982,,1303020,headwaters in vicinity of,439929.55,4231826.64,hdgt Lemaster Ditch in,443052.47,4233678.95,,,"(38.249322, -105.650831)",3.1,1.5 (1/1 - 12/31),,Custer,Arkansas Headwaters
11CW0152,5,51,Hamilton Creek,Stream,Acquisition,,,,Denver Water Diversion at Hamilton Creek,,,Confluence of Hurd Creek,,,,,,3.04,"1 (5/1 - 5/31), 1.5 (6/1 - 8/14), 0.5 (8/15 - 4/30)",,Grand,Colorado Headwaters
77W1281,6,58,Wolverine Creek,Stream,New Appropriation,09/23/1977,,5802335,headwaters in vicinity of,357675.26,4505768.51,confl SF Elk River at,354770.27,4509435.49,,,"(40.722778, -106.718889)",3,4 (1/1 - 12/31),,Routt,Upper Yampa
10CW0131,4,62,Blue Creek,Stream,New Appropriation,01/26/2010,,6201339,confl Little Blue Creek at,289751.74,4253447.96,confl Morrow Point Reservoir at,289449.78,4258460.48,,,"(38.449722, -107.412778)",3.53,4.5 (4/1 - 7/31),,Gunnison,Upper Gunnison
14CW3095,4,63,Granite Creek,Stream,New Appropriation,01/28/2014,,6300820,confl two unnamed tributaries at,156138.33,4307514.83,Colorado-Utah border at,147902.58,4305756.66,,,"(38.830278, -109.055833)",5.79,"2.7 (4/1 - 6/30), 0.5 (7/1 - 3/31)",,Mesa,Lower Dolores
74W7734A,1,65,Arikaree River,Stream,New Appropriation,06/21/1974,,6502100,begins at,709317.16,4402041.35,ends at,717282.31,4404208.84,,,"(39.76, -102.463056)",7,3.5 (1/1 - 12/31),,Yuma,Arikaree
W-3012-76,5,37,RAGGED LAKE,Lake,New Appropriation,01/14/1976,,3703577,na,,,na,,,4369629.27,346054.52,"(39.4625, -106.788889)",,,33,Eagle,Eagle
W-3658-76,3,22,NO NAME LAKE,Lake,New Appropriation,05/12/1976,,2203588,na,,,na,,,4118953.98,366734.07,"(37.205556, -106.502778)",,,145,Conejos,Conejos
85CW0631,5,51,Simpson Creek,Stream,New Appropriation,11/08/1985,,5102052,headwaters in vicinity of,415776.32,4420588.91,confl Keyser Creek at,412957.27,4418025.87,,,"(39.908611, -106.016667)",2.9,0.5 (1/1 - 12/31),,Grand,Colorado Headwaters
80CW0038,5,36,Cataract Creek,Stream,New Appropriation,01/30/1980,,3602000,outlet Lower Cataract Lake in,387323.98,4410301.86,confl Green Mountain Res in,390229.00,4413015.87,,,"(39.860081, -106.283344)",2.8,"3 (10/1 - 4/30), 6 (5/1 - 9/30)",,Summit,Blue
79CW0196,1,23,Willow Creek,Stream,New Appropriation,03/14/1979,,2302111,headwaters in vicinity of,405514.96,4318610.21,confl Rough & Tumbling Ck at,405863.96,4323493.06,,,"(39.055556, -106.088889)",3.5,0.5 (1/1 - 12/31),,Park,South Platte Headwaters
98CW0221,4,59,Waterloo Gulch,Stream,New Appropriation,05/11/1998,,5901821,headwaters in vicinity of,376418.73,4308766.88,confl Texas Creek at,377042.70,4303892.82,,,"(38.865833, -106.437778)",3.5,"0.75 (10/1 - 4/30), 2 (8/15 - 9/30), 3.5 (5/1 - 8/14)",,Gunnison,East-Taylor
83CW0086,7,30,Grassy Creek,Stream,New Appropriation,05/05/1983,,3001905,headwaters in vicinity of,245297.82,4176196.90,confl Hermosa Creek at,242395.30,4174315.11,,,"(37.679722, -107.920278)",2.5,2 (1/1 - 12/31),,San Juan,Animas
80CW0315,5,39,Elk Creek,Stream,New Appropriation,05/07/1980,,3902010,confl E Elk Creek at,280648.36,4384613.33,confl Colorado River at,281904.78,4382989.48,,,"(39.568889, -107.538333)",1.4,"8 (10/1 - 4/30), 15 (5/1 - 9/30)",,Garfield,Colorado Headwaters-Plateau
85CW0637,5,72,Mesa Creek,Stream,New Appropriation,11/08/1985,,7202005,confl Big Beaver Creek in,227864.86,4332461.76,hdgt Mason & Eddy in,228405.51,4338750.41,,,"(39.1556, -108.143067)",4.6,2.5 (1/1 - 12/31),,Mesa,Colorado Headwaters-Plateau
77W1308,6,58,Long Park Creek,Stream,New Appropriation,09/23/1977,,5802271,headwaters in vicinity of,354935.87,4479687.52,confl Fishhook Creek at,357831.94,4476781.57,,,"(40.429722, -106.675556)",3,2 (1/1 - 12/31),,Routt,Upper Yampa
W-3821-77,3,25,SAN ISABEL LAKE,Lake,New Appropriation,03/09/1977,,2503504,na,,,na,,,4214434.16,441980.89,"(38.075278, -105.662222)",,,65,Saguache,San Luis
78W9262,1,3,Elkhorn Creek,Stream,New Appropriation,01/19/1978,,0302102,headwaters in,442098.50,4511331.59,confl Cache la Poudre River in,462753.72,4505252.09,,,"(40.697328, -105.440861)",19,2 (1/1 - 12/31),,Larimer,Cache La Poudre
89CW0202,1,4,Cow Creek,Stream,New Appropriation,11/14/1989,,0402104,National Park boundary in,456494.02,4475494.18,confl West Creek at,459015.27,4476832.28,,,"(40.440833, -105.4825)",2.1,"0.4 (11/1 - 3/31), 0.8 (4/1 - 10/31)",,Larimer,Big Thompson
95CW0150,6,58,Yampa River,Stream,Acquisition,05/15/1968,,5803787,confl Elkhead Creek at,,,confl Green River at,,,,,"(40.529722, -108.980833)",,0 (0 - 0),,Moffat,"Lower Yampa, Upper Green-Flaming Gorge Reservoir, Upper Yampa"
W-3083-76,5,38,INDEPENDENCE LAKE,Lake,New Appropriation,01/14/1976,,3803831,na,,,na,,,4333898.98,364519.57,"(39.143056, -106.566667)",,,86,Pitkin,Roaring Fork
80CW0369,5,43,Middle Miller Creek,Stream,New Appropriation,05/07/1980,,4302336,headwaters in vicinity of,262380.82,4415080.84,confl E Miller Creek at,263536.83,4417524.85,,,"(39.874722, -107.764167)",11.8,2 (1/1 - 12/31),,Rio Blanco,Upper White
77W3652B,5,43,South Fork White River,Stream,New Appropriation,11/15/1977,,4302344,confl Swede Creek in,280592.63,4425148.63,confl NF White River in,274661.29,4428072.15,,,"(39.972792, -107.638658)",4.5,80 (1/1 - 12/31),,Rio Blanco,Upper White
W-4343-75,2,11,NORTH HALFMOON LAKE (MIDDLE),Lake,New Appropriation,09/10/1975,,1103992,na,,,na,,,4337956.18,370742.57,"(39.179167, -106.495833)",,,175,Lake,Arkansas Headwaters
21CW3077,2,11,East Fork Arkansas River,Stream,New Appropriation,03/10/2021,,,headwaters in the vicinity of,399540.97,4353749.78,confl Chalk Creek at,394793.07,4356126.94,,,"(39.348183, -106.220964)",6.46,"0.25 (12/16 - 04/30), 0.7 (09/21 - 12/15), 2.8 (08/01 - 09/20), 7 (05/01 - 07/31)",,Lake,Arkansas Headwaters
02CW0275,4,63,Roc Creek,Stream,New Appropriation,01/23/2002,,6300625,confl unnamed tributary at,150278.89,4265401.87,confl Dolores River at,163018.85,4263058.41,,,"(38.4525, -108.860833)",10,"6.6 (3/15 - 6/14), 1.5 (6/15 - 3/14)",,Montrose,Lower Dolores
W-578-72,5,38,MEXICAN CUT POND #14,Lake,Acquisition,07/01/1932,,3804047,na,,,na,,,4321551.65,321069.76,"(39.024722, -107.066389)",,,0.71,Gunnison,Roaring Fork
W-3044-76,5,36,"SLATE LAKE #2, UPPER",Lake,New Appropriation,01/14/1976,,3603638,na,,,na,,,4399846.50,391776.82,"(39.741667, -106.2625)",,,336,Summit,Blue
82CW0232,3,22,Conejos River,Stream,New Appropriation,10/07/1982,,2200895,confl NF & MF Conejos River at,356010.34,4126738.73,confl Platoro Res at,360252.30,4133015.05,,,"(37.333333, -106.576944)",5.2,"10 (10/1 - 4/30), 30 (5/1 - 9/30)",,Conejos,Conejos
87CW0263,1,3,Sawmill Creek,Stream,New Appropriation,12/11/1987,,0302138,headwaters in vicinity of,422401.33,4491989.84,confl Joe Wright Creek at,427602.99,4492643.57,,,"(40.581389, -105.855)",3.5,"2 (10/1 - 3/31), 4 (4/1 - 9/30)",,Larimer,Cache La Poudre
75W4270,2,67,Gageby Creek,Stream,New Appropriation,05/01/1975,,6703001,Fort Lyon Canal crossing in,667708.79,4225799.81,confl John Martin Res in,668525.66,4219540.81,,,"(38.107981, -103.077778)",5.1,1 (1/1 - 12/31),,Bent,Upper Arkansas-John Martin
77W1266,6,58,Willow Creek,Stream,New Appropriation,09/23/1977,,5802279,outlet Hahns Peak Lake in,332526.23,4522250.40,confl Steamboat Lake Res in,334665.22,4519547.41,,,"(40.810294, -106.960228)",2,3 (1/1 - 12/31),,Routt,Upper Yampa
03CW0266,5,43,Bitter Creek,Stream,New Appropriation,01/22/2003,,4303265,headwaters in vicinity of,156756.35,4388668.34,Colorado-Utah state line at,151688.75,4381946.00,,,"(39.516389, -109.050833)",5.8,"1.8 (6/1 - 6/30), 0.4 (7/1 - 5/31)",,Garfield,Lower White
85CW0264,5,53,Grizzly Creek,Stream,New Appropriation,05/03/1985,,5302012,confl S Grizzly Creek at,305955.69,4395850.75,confl Colorado River in,306627.33,4381340.78,,,"(39.559978, -107.250892)",10.1,3 (1/1 - 12/31),,Garfield,Colorado Headwaters
07CW0036,4,40,North Fork Escalante Creek,Stream,New Appropriation,01/25/2006,,4002289,confl Points Creek at,187771.36,4276833.47,hdgt Sawtell Ditch at,197470.58,4279346.58,,,"(38.611111, -108.474167)",7.3,"3.7 (4/1 - 6/14), 0.6 (6/15 - 3/31)",,Mesa,Lower Gunnison
76W2951,5,38,Sopris Creek,Stream,New Appropriation,01/14/1976,,3802041,confl E&W Sopris Creeks in,322552.46,4357611.11,confl Roaring Fork River in,322027.62,4359668.14,,,"(39.368153, -107.065964)",1.5,5 (1/1 - 12/31),,Eagle,Roaring Fork
86CW0300,1,6,South Fork Middle Boulder Creek,Stream,New Appropriation,09/05/1986,,0602118,confl Jasper Creek at,447303.50,4422919.98,confl NF Middle Boulder Creek in,448547.82,4422739.00,,,"(39.953219, -105.602356)",0.9,"4 (10/1 - 3/31), 8 (4/1 - 9/30)",,Boulder,St. Vrain
80CW0106,4,59,Castle Creek,Stream,New Appropriation,03/17/1980,,5901553,headwaters in vicinity of,309078.40,4289160.40,confl South Castle Creek at,315766.07,4292284.00,,,"(38.76, -107.119722)",6,4 (1/1 - 12/31),,Gunnison,Upper Gunnison
98CW0157,2,12,Eightmile Creek,Stream,New Appropriation,05/11/1998,,1203016,headwaters in,492055.56,4281005.71,confl East Fork Eightmile Creek at,492118.05,4268704.06,,,"(38.566667, -105.090278)",10.9,"1.1 (7/15 - 10/14), 1.1 (4/1 - 5/14), 0.65 (10/15 - 3/31), 2.5 (5/15 - 7/14)",,"Fremont, Teller",Upper Arkansas
77W4655,2,11,Lake Fork,Stream,New Appropriation,01/19/1977,,1103059,confl Willow Creek in,381402.62,4341238.00,confl Arkansas River in,383087.43,4340036.99,,,"(39.201733, -106.353983)",2,20 (1/1 - 12/31),,Lake,Arkansas Headwaters
82CW0156,2,12,South Prong,Stream,New Appropriation,06/03/1982,,1203008,headwaters in vicinity of,429648.18,4236416.82,confl N Prong Hayden Creek at,428458.60,4242632.73,,,"(38.329167, -105.817778)",4.4,2 (1/1 - 12/31),,Fremont,Arkansas Headwaters
W-3076-76,5,38,THOMAS LAKE #3,Lake,New Appropriation,01/14/1976,,3803781,na,,,na,,,4349236.30,315082.87,"(39.272778, -107.143056)",,,9,Pitkin,Roaring Fork
80CW0535,5,38,MEXICAN CUT POND # 3,Lake,New Appropriation,03/17/1980,,3803762,na,,,na,,,4321913.95,321414.83,"(39.028056, -107.0625)",,,0.14,Gunnison,Roaring Fork
78W3784,5,51,Hall Creek,Stream,New Appropriation,05/12/1978,,5102000,headwaters in vicinity of,413457.56,4456060.13,confl Willow Creek at,410898.34,4451288.38,,,"(40.206944, -106.046111)",4,0.5 (1/1 - 12/31),,Grand,Colorado Headwaters
79CW0133,2,13,Hiltman Creek,Stream,New Appropriation,03/14/1979,,1303009,headwaters in vicinity of,446261.01,4211264.24,Forest Service boundary in,451160.27,4214244.94,,,"(38.074658, -105.556839)",4,2 (1/1 - 12/31),,Custer,Arkansas Headwaters
90CW0315,5,51,Fraser River,Stream,New Appropriation,11/27/1990,,5102109,confl St Louis Creek in,430389.57,4422660.92,confl Ranch Creek in,428220.55,4427889.00,,,"(39.998136, -105.840875)",4.2,"11 (9/16 - 5/14), 17 (5/15 - 9/15)",,Grand,Colorado Headwaters
80CW0062,5,38,Hunter Creek,Stream,Acquisition,05/15/1884,,3802002,Red Mountain Ditch headgate in,343909.50,4341039.41,confl Roaring Fork River in,342757.69,4340178.96,,,"(39.197222, -106.820556)",1.2,0.5 (1/1 - 12/31),,Pitkin,Roaring Fork
84CW0377,4,59,Steuben Creek,Stream,New Appropriation,05/04/1984,,5901511,confl W Steuben Creek at,314936.78,4275906.51,confl Blue Mesa Res at,320325.53,4262436.04,,,"(38.492222, -107.059722)",9.5,1 (1/1 - 12/31),,Gunnison,Upper Gunnison
W-4457-76,2,13,"BRUSH CREEK LAKE, LOWER",Lake,New Appropriation,01/14/1976,,1303513,na,,,na,,,4229784.21,437941.68,"(38.213889, -105.708333)",,,1414,Custer,Arkansas Headwaters
86CW0298,1,80,Kennedy Gulch,Stream,New Appropriation,09/05/1986,,8002115,confl Casto Creek in,474469.07,4373269.89,confl NF South Platte River in,480347.81,4364758.95,,,"(39.432144, -105.228347)",7,1 (1/1 - 12/31),,Jefferson,Upper South Platte
80CW0386,4,62,Calf Creek,Stream,New Appropriation,09/09/1980,,6201252,headwaters in vicinity of,309627.41,4218171.68,confl Cebolla Creek at,314661.43,4213158.56,,,"(38.047222, -107.111389)",4.9,2 (1/1 - 12/31),,Hinsdale,Upper Gunnison
W-1071-76,6,47,ROUND MOUNTAIN LAKE,Lake,New Appropriation,03/17/1976,,4704364,na,,,na,,,4494017.51,357927.56,"(40.586111, -106.676389)",,,55,Jackson,North Platte Headwaters
84CW0138,3,22,Conejos River,Stream,New Appropriation,10/07/1982,,2200831,confl unnamed tributary at,363634.29,4135479.92,confl Saddle Creek in,368509.59,4127948.38,,,"(37.288856, -106.483403)",8.7,"10 (10/1 - 4/30), 40 (5/1 - 9/30)",,Conejos,Conejos
77W1348,6,44,First Creek,Stream,New Appropriation,09/23/1977,,4402072,headwaters in,325829.91,4511314.94,confl Elkhead Creek in,317014.14,4511465.47,,,"(40.733797, -107.167)",6.5,3 (1/1 - 12/31),,Routt,Upper Yampa
W-1771-77,7,30,"ELDORADO LAKE, LITTLE",Lake,New Appropriation,01/19/1977,,3003933,na,,,na,,,4177032.17,275492.58,"(37.713056, -107.546389)",,,27,San Juan,Animas
05CW0153,4,40,Middle Fork Escalante Creek,Stream,New Appropriation,01/25/2005,,4006551,headwaters in vicinity of,188849.37,4267694.76,confl EF Escalante Creek at,203296.68,4275899.57,,,"(38.581944, -108.405833)",11.4,"3.1 (4/1 - 6/14), 1.6 (6/15 - 10/31), 1.25 (11/1 - 3/31)",,Mesa,Lower Gunnison
80CW0089,3,20,Hope Creek,Stream,New Appropriation,07/08/1980,,2001763,headwaters in vicinity of,334626.33,4157583.27,confl SF Rio Grande at,342113.13,4157085.11,,,"(37.547222, -106.786389)",5.1,5 (1/1 - 12/31),,Mineral,Rio Grande Headwaters
83CW0049,3,20,Rio Grande,Stream,New Appropriation,08/16/1982,,2001612,confl Clear Creek in,313728.84,4181345.22,confl Trout Creek in,321585.08,4177236.32,,,"(37.725028, -107.024478)",8.7,"45 (10/1 - 4/30), 90 (5/1 - 9/30)",,Mineral,Rio Grande Headwaters
77W3292,4,28,Marshall Creek,Stream,New Appropriation,11/15/1977,,2801097,confl Indian Creek in,381381.12,4248210.01,confl Tomichi Creek in,375848.15,4251487.98,,,"(38.403006, -106.421856)",2.8,"4 (10/1 - 4/30), 8 (5/1 - 9/30)",,Saguache,Tomichi
W-3350-77,4,59,GREEN LAKE,Lake,New Appropriation,03/09/1977,,4003652,na,,,na,,,4307973.76,315965.03,"(38.901389, -107.121667)",,,77,Gunnison,North Fork Gunnison
15CW3052,6,44,Elkhead Creek,Stream,New Appropriation,01/26/2015,,4402524,LT of ISF Case # 06CW034 at,319905.48,4513311.00,confl First Creek at,317014.14,4511465.47,,,"(40.733889, -107.166944)",3.68,"7.6 (4/1 - 6/30), 4.1 (7/1 - 7/31), 1.7 (8/1 - 3/31)",,Routt,Upper Yampa
84CW0414,4,40,Little Dyke Creek,Stream,New Appropriation,05/04/1984,,4002359,headwaters in vicinity of,273275.74,4328744.77,confl Hubbard Creek at,275886.72,4327368.82,,,"(39.066667, -107.589722)",2.5,2 (1/1 - 12/31),,Delta,North Fork Gunnison
80CW0118,5,37,Abrams Creek,Stream,New Appropriation,03/17/1980,,3702047,headwaters in,339761.76,4382987.00,hdgt diversion in,344030.66,4387948.13,,,"(39.627097, -106.817294)",4.3,0.5 (1/1 - 12/31),,Eagle,Eagle
76W8227,1,23,Trout Creek,Stream,New Appropriation,01/14/1976,,2302122,headwaters in vicinity of,414216.67,4355161.73,US Highway 285 in,420164.14,4347955.96,,,"(39.277281, -105.925594)",6.8,4 (1/1 - 12/31),,Park,South Platte Headwaters
W-4452-76,2,13,"COLONY LAKE, NORTH #4",Lake,New Appropriation,01/14/1976,,1303508,na,,,na,,,4204375.33,451290.85,"(37.984722, -105.554167)",,,2,Custer,Arkansas Headwaters
77W4683,2,13,Swift Creek,Stream,New Appropriation,11/15/1977,,1303007,headwaters in vicinity of,443058.44,4220956.92,Forest Service boundary in,447713.79,4222894.76,,,"(38.152419, -105.596767)",3.5,3 (1/1 - 12/31),,Custer,Arkansas Headwaters
W-3620-76,3,21,LOST LAKE,Lake,New Appropriation,03/17/1976,,2103589,na,,,na,,,4122877.49,373160.44,,,,293,Conejos,Alamosa-Trinchera
87CW0269,1,3,Acme Creek,Stream,New Appropriation,12/11/1987,,0302124,headwaters in vicinity of,443643.49,4529106.99,confl Sheep Creek at,446535.00,4531148.06,,,"(40.929722, -105.634722)",2.2,0.5 (1/1 - 12/31),,Larimer,Cache La Poudre
W-3039-76,5,37,RAINBOW LAKE,Lake,New Appropriation,01/14/1976,,3703578,na,,,na,,,4375574.17,365223.87,"(39.519444, -106.568056)",,,24,Eagle,Eagle
83CW0045,3,20,South Clear Creek,Stream,New Appropriation,08/16/1982,,2001622,outlet res (lowest Browns Lks) at,308120.14,4189277.06,confl N Clear Creek at,312163.47,4187450.14,,,"(37.815278, -107.133611)",2.4,4 (1/1 - 12/31),,"Hinsdale, Mineral",Rio Grande Headwaters
W-3237-76,5,37,WHITNEY LAKE #3,Lake,New Appropriation,03/17/1976,,3703590,na,,,na,,,4365076.19,375162.41,"(39.426389, -106.447778)",,,84,Eagle,Eagle
98CW0146,2,11,Tennessee Creek,Stream,New Appropriation,12/09/1998,,1103076,confl St Kevin Gulch in,383634.09,4349480.26,confl E Fk Arkansas River in,384069.76,4346309.15,,,"(39.258369, -106.343689)",2.2,"19 (5/15 - 7/31), 9 (8/1 - 10/14), 6 (10/15 - 5/14)",,Lake,Arkansas Headwaters
90CW0293,5,51,Pole Creek,Stream,New Appropriation,11/27/1990,,5102087,confl unnamed tributary in,422059.44,4426298.00,confl Skunk Creek at,425871.51,4426324.98,,,"(39.983611, -105.8675)",2.5,"1.5 (7/1 - 7/31), 3 (4/1 - 6/30), 1 (8/1 - 3/31)",,Grand,Colorado Headwaters
84CW0170,3,20,West Fork Pinos Creek,Stream,New Appropriation,08/16/1982,,2001851,headwaters in,361036.54,4149290.84,confl E Fork Pinos Creek in,368924.97,4158384.17,,,"(37.563164, -106.484122)",8,3 (1/1 - 12/31),,Rio Grande,Alamosa-Trinchera
W-3355-77,4,28,"LAMPHIER LAKE, UPPER",Lake,New Appropriation,05/12/1976,,2803644,na,,,na,,,4282207.40,360932.92,,,,30,Gunnison,Tomichi
W-3314-77,4,59,"AXTELL LAKE, UPPER",Lake,New Appropriation,01/19/1977,,5903719,na,,,na,,,4300647.01,323873.11,,,,6,Gunnison,Upper Gunnison
84CW0638,1,80,Kenosha Creek,Stream,New Appropriation,01/06/1984,,8002116,headwaters in vicinity of,437941.67,4361894.17,confl NF South Platte River in,437914.22,4367668.93,,,"(39.45635, -105.721647)",5.6,1 (1/1 - 12/31),,Park,Upper South Platte
W-566-72,5,38,MEXICAN CUT POND # 1,Lake,Acquisition,07/01/1932,,3803849,na,,,na,,,4321728.43,321434.69,"(39.026389, -107.062222)",,,0.23,Gunnison,Roaring Fork
11CW0152,5,51,Fraser River,Stream,Acquisition,,,,Confluence of Ranch Creek,,,Confluence of Crooked Creek,,,,,,0.66,"17 (5/15 - 9/15), 11 (9/16 - 5/14), 100 (4/1 - 9/30), 80 (10/1 - 3/31)",,Grand,Colorado Headwaters
85CW0429,1,3,George Creek,Stream,New Appropriation,11/08/1985,,0302116,headwaters in vicinity of,441027.86,4526602.84,confl Sheep Creek at,452518.95,4527078.08,,,"(40.893333, -105.563056)",8.9,3 (1/1 - 12/31),,Larimer,Cache La Poudre
81CW0301,6,47,No Name Creek,Stream,New Appropriation,12/03/1981,,4702077,headwaters in vicinity of,411175.80,4481308.82,stream terminus at,412727.90,4483685.49,,,"(40.499167, -106.028333)",2,1 (1/1 - 12/31),,Jackson,North Platte Headwaters
W-1082-76,6,47,SEVEN LAKES #1,Lake,New Appropriation,03/17/1976,,4704367,na,,,na,,,4528570.96,358300.72,"(40.895833, -106.679167)",,,58,Jackson,Upper North Platte
W-3611-76,3,22,"TWIN LAKE, WEST (UPPER)",Lake,New Appropriation,03/17/1976,,2203595,na,,,na,,,4125691.15,359681.76,"(37.267222, -106.581944)",,,9,Conejos,Conejos
80CW0094,4,59,Washington Gulch,Stream,New Appropriation,03/17/1980,,5901561,headwaters in vicinity of,323521.35,4315503.03,confl Slate River in,329100.29,4304498.73,,,"(38.872736, -106.970017)",9.1,2.5 (1/1 - 12/31),,Gunnison,East-Taylor
87CW0292,1,3,Stonewall Creek,Stream,New Appropriation,12/11/1987,,0302126,confl Tenmile Creek at,478172.24,4523611.85,confl NF Cache la Poudre R at,478385.19,4517186.66,,,"(40.805278, -105.255556)",5.4,1 (1/1 - 12/31),,Larimer,Cache La Poudre
W-1540-76,7,31,ANNIE LAKE,Lake,New Appropriation,05/12/1976,,3103913,na,,,na,,,4167127.43,280179.72,"(37.625, -107.490278)",,,248,La Plata,Upper San Juan
86CW0220,5,52,North Fork Piney River,Stream,New Appropriation,01/16/1986,,5202005,headwaters in vicinity of,379324.98,4407846.88,confl Piney River at,372300.00,4402945.86,,,"(39.766667, -106.490556)",6.7,2 (1/1 - 12/31),,Eagle,Colorado Headwaters
84CW0643,1,80,Deer Creek,Stream,New Appropriation,01/06/1984,,8002110,headwaters in vicinity of,445770.04,4378012.91,Forest Service boundary in,452763.03,4373019.72,,,"(39.505506, -105.549442)",6.1,2 (1/1 - 12/31),,Park,Upper South Platte
77W4668,2,11,Clear Creek,Stream,New Appropriation,11/15/1977,,1103095,confl Waverly Gulch at,384056.80,4317800.25,confl Clear Creek Res at,389806.53,4319573.17,,,"(39.018889, -106.273056)",5,20 (1/1 - 12/31),,Chaffee,Arkansas Headwaters
W-3327-77,4,40,"MOUNT GUNNISON LAKE #1, NORTH",Lake,New Appropriation,03/09/1977,,4003649,na,,,na,,,4299204.86,293751.55,"(38.8175, -107.375)",,,45,Gunnison,North Fork Gunnison
79CW0118,2,11,Pomeroy Gulch,Stream,New Appropriation,03/14/1979,,1103017,headwaters in vicinity of,383421.45,4277276.50,confl Chalk Creek at,381161.76,4282070.36,,,"(38.681111, -106.360833)",3.5,3 (1/1 - 12/31),,Chaffee,Arkansas Headwaters
85CW0652,5,72,Plateau Creek,Stream,New Appropriation,09/06/1985,,7202000,confl unnamed trib at,266566.81,4334194.89,confl Vega Res in,260547.93,4345573.65,,,"(39.226447, -107.773942)",9.9,3 (1/1 - 12/31),,Mesa,Colorado Headwaters-Plateau
96CW0353,5,53,HANGING LAKE,Lake,New Appropriation,11/26/1996,,5302027,na,,,na,,,4385809.78,311823.51,"(39.601389, -107.191111)",,,5,Garfield,Colorado Headwaters
90CW0193,1,6,Boulder Creek,Stream,Acquisition,06/01/1862,,0602100,confl N & M Boulder Creeks in,465354.82,4428316.02,75th Street bridge in,484780.45,4433504.99,,,"(40.051647, -105.178433)",16.5,0.643 (5/1 - 9/30),,Boulder,St. Vrain
98CW0166,2,11,Cyclone Creek,Stream,New Appropriation,05/11/1998,,1103066,headwaters in vicinity of,386307.90,4277680.30,confl NF S Arkansas River at,387643.36,4273410.28,,,"(38.601944, -106.29)",3.5,"0.75 (11/1 - 4/30), 1.75 (5/1 - 10/31)",,Chaffee,Arkansas Headwaters
